entity,frequency
 ALLONTANA LA PROGRESSIONE,2
 SIA DA SOLO CHE,2
 COMBINAZIONE,2
 Zanubrutinib ASH data,2
 headhead trial tho,2
 discontinuations,6
 acalabrutinib CalquenceNuevas,2
 aprobadas para adultos con leucemia linfocítica crónica,2
 CLL o,2
 慢性リンパ性白血病（CLL）／小リンパ球性リンパ腫（SLL）成人患者の治療のためにCALQUENCEを承認 提供元,2
 PRODUCT APPROVALS Drug,2
 Chronic Graft,2
 Host Disease,4
 II trial studies,2
 Leucemia linfatica cronica,4
 migliora significativamente,2
 …   salutedomani podcast,2
 ASH AstraZenecas Calquence posts skyhigh,12
 survival numbers,18
 AbbVies Imbruvica,24
 AZs rising Calquence,12
 da progressione o mo,8
 da progressione o morte,2
 AstraZenecas Calquence Wins FDA Approval,34
 triplet regimen,14
 Calquence acalabrutinib mejora la supervivencia libre de progresión,4
   prueba que Calquence,2
 vida de pacientes con leucemia,2
 FirstLine CLL,6
 pacientes con   linfocítica crónica según los resultados completos del,2
 Mercks,2
 ArQule,4
 competition,10
 class,20
 AbbVie,384
 JampJs Imbruvica,8
 que Calquence,2
 vida de pacientes con,2
 Presentación de   sobre datos de Calquence,2
 Leukemia rivals,2
 Merck Lilly,2
 JampampJamps Imbruvica,2
 AstraZenecaamps Calquence,2
 disease progression,66
 Calquence acalabrutinib de   prolonga significativamente el tiempo que los   con,2
 tratada previamente,2
 s   boosts,2
 inhibiteur de la kinase fait,2
 preuves,2
 Acalabrutinib un,2
 della tirosinkinasi,2
 di Bruton,2
 ha ottenuto la designazione,2
 di terapia fortemente innovativa nel linfoma mantellare,2
 Month,18
 Jeff Sharman,8
 Oncology Network,4
 Dr Furman,24
 month followup data,2
 Toxicities,8
 AcalabrutinibTreated Patients,2
 Chronic Lymphocytic Leukemia Retrospective Analysis,2
 Phase III ELEVATE TN trial,2
 AstraZeneca trial,6
 II study,14
 AVO,4
 survival,118
 AstraZeneca data,2
 AstraZenecas Calquence posts skyhigh,2
 Calquence tripartite review,2
 Project Orbis,8
 Dr Nicholas Richardson,2
 MD,18
 ASH AZ,6
 PIII ELEVATE TN Study,2
 HemsOncs,2
 insights,36
 acalabrutinib acalabrutinib,2
 venetoclax   obinutuzumab ibrutinib,2
 venetoclax zanubrutinib ibrutinib,2
 Learn,8
 Breaking Data,2
 CLL Rapid Impact Report,2
 Acalabrutinib Regimens,2
 TreatmentNaïve Patients,22
 leukaemia drug Calquence,4
 time patients,6
 previously untreated   AZN,2
 ELEVATETNおよびASCEND試験の複数の試験において、アカラブルチニブは良好 リンク,2
 グ：試験,2
 アストラゼネカ株式会社アストラゼネカのアカラブルチニブ（Calquence）米国において慢性リンパ性白血病（CLL）成人患者さんの治療薬として承認取得,2
 Calquence Acalarutinib adalah obat baru untuk kanker leukemia yaitu Mantle Cell Lymphoma,2
 MCL dan Chronic Lymphocytic Leukimia CLL,2
 Pada   Food Drug Administration,2
 Government FDA telah menyetujui Calquence,2
 Calquence Acalarutinib adalah obat baru untuk kanker leukemia yaitu Mantle Cell Lymphoma MCL dan Chronic Lymphocytic Leukimia CLL   Pada   Food Drug Administration Government,2
 新着記事アストラゼネカのアカラブルチニブ（Calquence）米国において慢性リンパ性白血病（CLL）成人患者,2
 アストラゼネカのアカラブルチニブ（Calquence）米国において慢性リンパ性白血病（CLL）成人患者さんの治療薬とし,4
 longterm followup study,2
 RR   patients,12
 w acalabrutinib,2
 Excellent summary,6
   experience,10
 Jennifer Woyach,18
 discusses mechanisms,2
 resistance,136
 characteristics,12
 BTK C mutations,2
 acalabrutinib resistant CLL,2
 Acalabrutinib Treatment Superior,4
 TreatmentNaïve CLL,8
 triplet,6
 ASH   Acalabrutinib con o sin obinutuzumab mejora,2
 la SLP,6
 ScienceLink,4
 cycle,14
 improved progressionfree survival,6
 treatmentnaïve chronic lymphocytic,2
 disease progression death,4
 Frontline CLL,12
   Approves Acalabrutinib,6
 Frontline acalabrutinib regimen,2
 acalabrutinib data,8
 RICE,4
 Refractory Lymphoma,4
 Status,6
 Large B Cell Lymphoma Chronic Lymphocytic Leukemia,2
 Clinical News,8
 footsteps,2
 novel agents,88
 Dr Lampson,4
 lead author,2
 frontline AVO triplet,2
 Location coverage,2
 highlights,32
 day,94
 look,54
 News,72
 Frontline acalabrutinib,2
 Huge Calquence booth,2
 Mechanism,16
 headache,4
 clinic experience,2
 Dr Bruce Cheson,4
 thing,8
 coffee,4
 Headache,4
 Q,24
    FYI,2
 patients dc Ibrutinib,2
 tox,4
 Calquence combination,2
 leukemia patients,8
 story,102
 wacala x month,2
 risk,174
 infusion rxn,2
 obin,2
 Ven,2
 C,8
 TLS,12
 CLL Interesting outcome,2
 BM MRD Neg,2
 Benjamin Lampson,2
 II data,6
 frontline CLL therapy,2
 rampup AVO w duration,2
 MRD,102
 Conclusions,16
 ELEVATE TN study,4
 ELEVATE TN Phase,6
 Acalabrutinib Combo wObinutuzumab,2
 Vs OChlorambucil,2
 TreatmentNaive CLL Session,2
 Sat Dec   Hall D Level,2
 Orange Co Conv Ctr,2
 curves,4
 improved PFS,12
 CR,20
 ELEVATE,4
 m,10
 ELEVATE study,6
 VS   Chlorambucil,2
 CLL morning session,2
 ELEVATE TN phase,2
 Chrorambucil trial,2
 PFS comparison,2
 combination tx,2
 GAcala,2
 GChl,4
 abstract,10
 TN CLL,2
 Acalabrutinib   Obinutuzumab,2
 acala monotherapy,2
 OFS benefit,2
 IGHV mutated patients,4
 IbrutinibIntolerant Mantle Cell Lymphoma,4
 IbrutinibIntolerant Mantle Cell Lymphoma Status,2
 ibrutinib Acalabrutinib,2
 Accelerated approval,2
 L’homologation,2
 accélérée de Calquence qui,2
 AZN BGNE,2
 headtohead trial,4
 deletion p,2
 q,6
 tcoqIGyVoZbT,2
 IYCMI CALQUENCE,2
 FDA Approval,20
 Benefit Adults,2
 Dr Mato,16
 Jeezus,2
 Food Drug Administration,50
 acalabrutinib Calquence AstraZeneca,2
   presenta datos de Calquence,2
   presentará los datos del ensayo Fase III ELEVATETN de Calquence acalabrutinib,2
 primera línea,2
 como otros avances,2
 Preliminary Safety,2
 Phase   Study,4
 Obinutuzumab O,4
 Vs O Plus Chlorambucil Clb,4
 TreatmentNaive Chronic Lymphocytic Leukemia CLL,4
 diciembre los primeros datos de Calquence,2
     presenta datos de Calquence,2
 éutica AstraZeneca presenta datos de Calquence,2
 Vía   AstraZeneca presenta nuevos datos de Calquence,2
 Nuevos datos,2
 de   sobre Calquence,2
 FDA Approves Acalabrutinib,46
 SLL Evidence,4
 ELEVATETN ASCEND studies,4
   approved acalabrutinib,4
 CognitrexCancerDigest FDA,2
 lymp,2
 Weekly Drug News,2
 FDA drug approval news,2
 Oxbryta,2
 Title Calquence,2
 CLL SLLCategory Health NewsCreated,2
 AMLast Editorial Review,2
 Australia,26
 Treat CLL,4
 CLLSLLが来年あたりから慌ただしくなりそうな予感すでにvenも発売されましたが,2
   FDA Approves Acalabrutinib,2
 Treatment Option,2
 Chronic Lymphocytic Leukemia Status,8
 Condition Summary Chronic Lymphocytic Leukemia Binet Staging System,2
   cronica Fda approva acalabrutinib,4
 treatments,82
 Leucemia linfatica cronica Fda approva acalabrutinib,2
 Calquence المعتمدة,8
 CLL ، SLL,8
 CLL SLL Title Calquence,2
 Treat CLL SLL Category Health News,2
 chronic lymphoma,10
 Pharmafile,4
 treat,8
 TGA approval,6
 SLL cancersThe TGA,2
 People,156
 Trial results,6
 AstraZeneca scores,12
 BTK race,12
 Effects Interactions amp,4
 chronic,10
 CLL Claim,6
 Keeping Track,2
 Approvals,2
 Novel Drugs Givlaari,2
 Project Orbis Collaboration Calquence,2
 Humira Biosimilar,2
 WATCH Dr Mato,4
 label expansion,4
 RHHBY AZN BIIB GILD,2
 TAG   Acalabrutinib,2
 CLL SLL cancers,2
 Medivizor,2
 p,48
 تائید داروی Calquence,2
 درمان CLL و,2
 SLLداروی Calquence acalabrutinib شرکت استرازنکا,2
 Project Orbis initiative,2
 phase III randomized trials,2
 Drs John Byrd,2
 Jen Woyach,2
 FDAapproval,2
 Fridays company news roundup,2
 Project,6
 FDA Canada,2
 news,76
 ViiV Neon Horizon SK Bio,2
 WuXi Vaccines,2
 AZN NTGN,2
 Treat CLL SLL,2
 新着記事FDA Approves Acalabrutinib,2
 CLL Indication,2
 acalabrutinib Efficacy,2
 BTKinhibitor,2
 Previously Treated Mantle Cell LymphomaLOCATIONFlemingsDATEDec    PM PMRSVPJason,2
 McDonald   jasonmcdonaldcom,2
 resources,24
 ® acalabrutinib capsules,2
 Project Orbis FDA,10
 Acalabrutinib FDA,2
 FDA Nod,6
 Calquence Line Extension,2
 option,56
 intolerance,18
 Food Drug Administration FDA,40
 AstraZenecas Calquence garners FDA approval,6
 Amazing   grand rounds,2
   approval,12
 s Calquence,4
 JampJ,4
 Phase III data,10
   FDA nod,2
 Pharma Industry News,2
 Roche,74
 Atezolizumab,2
 India Laurus Labs Vidakhapatnam units,2
 USFDA inspection,2
 USFDA,2
 CLL approval,2
 AZN   ASTRAZENECA Calquence,2
 record time,4
 CLL   BUY,2
 NEUTRAL,4
 ASTRAZENECA,2
 BUY,2
 CLL Calquence,2
 Approval,96
   FDA,26
 【 新着記事】CLLSLLに対するacalabrutinibを米・FDAが迅速承認【FDA,2
 FDA Approves AZNs Calquence GLYCs,2
 ENLV Withdraws,2
 Offering,2
 Nasdaq,2
 FDA Approves AZNs Calquence GLYCs Data,4
 ENLV Withdraws Offering,2
 FDA TGA,2
 Leukemia,160
 Regulatory News,4
 Food amp Drug Administration   approvals,2
 Thursday,10
 NDA,26
 ANDA,2
 Biotech,4
 GLYC data delay,2
 AZN Calquence FDA ApprovalIntraday offerings,2
 ONTX,2
 BPTH ENLV,2
 BIIB ENTA ENTX IMRN IOVA SNY TNXP XERS,2
 Australia Canada Approve New Drug,2
 Blood Cancers,22
 AstraZenecas Calquence acalabrutinib,32
 SLL Oncology Newsburst,2
 acalabrutinib CALQUENCE AstraZeneca,4
 CLL IndicationMore,2
 FDA aprueba acalabrutinib,2
 el tratamiento de la LLC,2
 Nov    FDA,2
 AwesomeCapital FDA OKs,2
 lymphocytic le,2
 ELEVATETN ASCEND trials comparing   Calquence,2
 indication,14
 FDA OKs AstraZenecas Calquence,2
 AZN   FDA OKs,2
 FYI,2
 Pod,2
 BREAKING,38
 nd generation BTK inhibitor,2
 nd agent,2
 Approves Acalabrutinib,6
 Excellent news,8
 ibrutinib FDA Approves Acalabrutinib,2
 tool,4
 CLLFDA Approves Acalabrutinib,2
 CLL Happy,2
 proud ro,2
 frontline Phase III trial,2
 Project Orbis success AZNs Calquence,2
 Early Obinutuzumab,2
 High Risk Recurrent,2
 ASH newsletter,2
 tcoirGwYHzf,2
 Pascal Soriot,2
 La Chine,2
 est,4
 AstraZeneca aussi,2
 globe acalabrutinib,2
 BeiGene FDA cancer drug nod,2
 breakthrough,14
 lymphoma,28
 experience,54
 trialsn,2
 L   RR RR prior BTKiPrior intol,2
 ibr,4
 Indirect Comparisons,6
 Targeted Therapies,40
 Matchingadjusted Indirect Comparisons,2
 Selectivity,2
 BTK occupancy,2
   conference,40
 poster,58
 Adverse Events,18
 Pts,18
 AcalabrutinibClinical Experience,2
 MDACC,2
   trial,22
 【 新着記事】次世代BTK阻害薬acalabrutinibの第Ⅲ相ELEVATETNの最初のデータをASH で発表,2
 Mantle Cell Lymphoma Design Development,2
 Place,4
   data,14
 Phase III,24
 III FrontLine,6
 ASH   Annual   Meeting,2
 Annual Meeting,6
 III FrontLine Chronic Lymphocytic Leukemia,2
 CALQUENCEÂ Data,2
 ASH   Annual Meeting Robust,2
 earlystage,16
 pipeline advancements,2
 presentations,10
 ASH   abstracts,2
 ASH abstracts,2
 improved progressionfree,2
 WATCH Dr Wang,4
 Addition,26
 pipeline newsflowfocus,2
 newsflow,2
 Calquence L CLL data ASH,2
 Nov Roxadustat anaemia PIII CV data,2
 ⁦⁩ ⁦⁩,12
 ⁩ Jonathon Cohen,2
 obinutizumab   acalabrutinib,2
 state,8
 science summit,2
 Health Canada,50
 Santé Canada,2
 homologué Calquence acalabrutinib pour,2
 atteints,4
 de lymphome,2
 à cellules,6
 du manteau LCM ayant essayé,2
 moins un traitement,2
   callprediction Calquence,2
 arrival,2
 L CLL,2
 approval max,2
 market share,2
 lt Imbruvica data,2
 L risk statussubtypes,2
 HOPE,4
 NCCN language,2
 Dr Siddiqi,8
 B cell lymphoma,6
 Julie Durocher,2
 Grand Round,2
 lymphoma therapy,2
 McGill University Acalabrutinib,2
 faculties,2
 invitation,2
 Paul Vardanis,2
   study,22
 press Fiveyear outcomes,2
 S study,2
 RhyperCVAD vs Rbendamustine,2
 pre ASCT,2
 SVB Leerinks Porges,2
 acalabrutinib breakthrough designation,2
 August,28
 Acalabrutinib Shows Benefit,10
 IbrutinibTreated RelapsedRefractory CLL,10
 Toxicity Profiles,6
 Ibrutinib Acalabrutinib,2
   Durable response,2
 singleagent,6
 toxicity profiles,2
 BTK inhibitors ibrutinib acalabrutinib,2
 Health Canada Approval,10
 ® acalabrutinib,40
 previouslytreated mantle cell lymphoma,16
 AZN   AstraZenecas Calquence OKd,2
 WATCH Dr Eradat,4
 Dr Eradat,2
 Comparison,46
 Cytarabine BendamustineHighDose CytarabineAcalabrutinib BendamustineRituximab,2
 login,4
 Tyrosine Kinase BTK,4
 opinion,8
 Wang Rule et alLong term resultsACELY fup m RR    CR,2
 PETmDOR mmPFS,2
 Acalabrutinib macht Ibrutinib,2
 der Therapie der CLL Konkurrenz,2
 Phase   ASCEND study results,2
 coverage,16
 La FDA otorga la designación de terapia innovadora de acalabrutinib para,2
 Lenalidomide,42
 RelapsedRefractory Bcell NonHodgkin Lymphoma NCCN guidelines,2
 Dr Siddiqi acalabrutinib,4
 RelapsedRefractory Bcell NonHodgkin Lymphoma,2
 RelapsedRefractory Bcell NonHodgkin Lymphoma Status Recruiting Condition Summary Nonhodgkin LymphomaB Cell,2
 الـ FDA تمنح صفة الاختراق لدواء,2
 Breakthrough Therapy Designation,98
 JP AZN CEO,2
 Takeaways,2
 Bullish,2
 CONGRESS     Followup data,2
 Baml AZN pick,2
 sales CAGR,2
 Pipeline catalysts,2
 Emerging treatments,2
 WM,6
 zanubrutinib acalabrutinib venetoclax,2
 ofatumumab,126
 Breakthrough Therapy Designation BTD,6
 clearance,4
 API,2
 NoDeal,2
 Adult Subjects,4
 MHRA Cleared API,2
 Export,2
 NoDeal Brexit,10
 EU Regulatory Roundup AstraZeneca,8
 Clearance,8
 Export Calquence API,8
 RAPS,2
 Focus,10
 Kerry Rogers MD,10
 Chronic Lymphocytic Leukemia Acalabrutinib,6
 TreatmentNaive,16
 Refractory Disease,6
   grants breakthrough designation,4
 tcoBgylAcuFNA,2
 阿斯利康（AstraZeneca）近日宣布，美国食品和药物管理局（FDA）已授予靶向抗癌药Calquence（acalabrutinib）突破性药物资格（BTD），作为一种单药疗法治疗慢性淋巴细胞白血病（CLL）成人患者。CLL是成人最常见的白血病类型之一,2
 Acalabrutinib Trial,26
 Acalabrutinib Key Clinical Data,16
   Grants Breakthrough Therapy Designation,4
 AstraZenecas juggernaut PARP player Lynparza,8
 FDAs Breakthrough Status,2
 AZN priority medicines,2
 forwardmedicines,2
 oncology,16
 TagrissoCalquence Lynparza Imfinzi,2
 designation,12
 III ELEVATETN ASCEND studies,2
 Calquence Earns Breakthrough Therapy Designation,4
 BrutonTKI,2
 二番手来ましたね。世代もあってか、どうしても、この薬剤名を見ると、とんねるずがCMしてたワインの、「赤レゼルブ、白レゼルブ,2
 monotherapy treatment,2
 breakthrough therapy status,4
 breakthrough therapy designation,34
 Astrazenecas leukaemia treatment Calquence,2
 CLLThe FDA,2
   Designation,4
 Breakthrough designation,10
 juggernaut PARP player Lynparza,4
 AstraZenecas juggernaut,2
 player,2
 препарату Calquence,4
 FDA Grants Acalabrutinib Breakthrough Designation,14
 press,8
 breakthrough designation,4
 ‘ Breakthrough ’ status,2
 III Successes,2
   grants breakthrough therapy designation,8
 CALQUENCEÂ acalabrutinib,14
 Chronic Lymphocytic Leukemia Designation,2
 AZN oncology,2
 PhIIIsAstraZenecas juggernaut PARP player Lynparza,2
 calquence,2
 progress,30
 Lynparza,2
 Calquence Breakthrough Therapy Designation,2
 Lymphocytic Leukaemia,2
 Breakthrough Ther,2
 AstraZeneca plc Calquence,2
 WATCH Dr Sharman,4
 Potential Future,2
 Acalabrutinib Therapy Infection Rate amp Headaches,10
 Baml AZN,4
 PO,2
 ve roxa news,2
 VIDEO Impact,2
 w Barbara Eichhorst,10
 Sameem Abedin MD,2
 aspects,2
 Dr Kipps,16
 reports,6
 Dr Abedin,2
 Differences,12
 UsesThis medication,2
 BJH Single,2
 ampRaised sales guide,2
 Tam et alZanubrutinib,2
 ️ BTK occupancy,2
 bd dosingn,2
 dose findingCLL cohort subcut,2
 G,4
 pt,14
 toxORR,2
 TN PD,2
 ptshort fupDoes,2
 matter,2
   Le zanubrutinib inhibiteur de Bruton TK achève sa phase,2
 la leucémie lymphoïde chronique,2
 SpringerLink,4
 EHA congress,2
 Dr Karmali,4
 developments,26
 relapsed   refractory,2
 MDSCs,4
 BTK inhibitors ibrutinib,4
 III Clinical TrialBased Early Economic Evaluation,2
 WATCH Dr Woyach,12
 Year,24
 AcalabrutinibObinutuzumab Combo,8
 DAEPOCHR,4
 Calquence Acalabrutinib AstraZenecaAcerta Global Drug Overview,2
 Outlook,28
 Calquence acalabrutinib AstraZenecaAcerta Overview,2
 Product profile,2
 Report,32
 WIREampThe ampCalquenceamp report,2
 Calquence acalabrutinib AstraZenecaAcerta Overview Product profile Report,2
 Acalabrutinib nel,2
 cellule,2
 del mantello recidivato o refrattario studio ACELY,2
 BTK inhibitor trials,2
 failedA,2
 GemAbraxane,2
 IbrutinibB,2
 DurvalumabC Acalabrutinib,2
 KeytrudaI,2
 ecancer：血液：EHA,2
 Acalabrutinibは再発性または難治性の慢性リンパ性白血病において著しい有益性を示す,2
 El,6
 ASCEND comparó acalabrutinib con rituximab,4
 combinación con idelalisib o bendamustina,4
 AstraZeneca anuncia los resultados detallados del análisis intermedio,2
 Astrazeneca anuncia resultados positivos de acalabrutinib para,6
 la leucemia linfocítica crónica recurrente,2
 Leucemia Linfatica Cronica acalabrutinib prolunga significativamente,2
 il tempo di vita senza progressione,6
 longterm acalabrutinibobinutuzumab trial,2
 CLL Shows Good Tolerability,4
 Good Tolerability AMSTERDAM,2
 Helen,2
 SIPBS,2
   AstraZeneca aumenta,2
 la supervivencia de pacientes con leucemia,2
 Calquence AstraZeneca,2
 o refractaria,2
 VIDEO Acalabrutinibobinutuzumab,2
 year followup,24
 Kerry Rogers,8
 AstraZeneca Calquence CLL Data,4
 Prof Paolo Ghia,8
    meeting,10
 ASCEND studyWatch,2
 JNJ Biotech Analysis Central AstraZeneca Calquence,2
 CLL Data,4
 Woyach Highlights LongTerm AcalabrutinibObinutuzumab Data,4
 obinutuzumab Gazyva,14
 bo,2
 presentation,54
 本日の看護・医療ニュースですアストラゼネカのアカラブルチニブ Calquence、再発又は難治性慢性リンパ性白血病患者さんの無増悪生存期間を有意に延長,2
 VIDEO AstraZeneca executive,2
 アストラゼネカ株式会社アストラゼネカのアカラブルチニブ Calquence 、 再発又は難治性慢性リンパ性白血病患者さんの無増悪生存期間を有意に延長,2
 アストラゼネカのアカラブルチニブ Calquence,4
 AstraZeneca acarabultinib Calquence,2
 Opiniondecision,2
 success,44
 Mantle Cell Lymphoma Program,2
 Excellence,2
 MD Anderson,12
 kind,6
 world,56
 Viable Option,4
 IbrutinibIntolerant RelapsedRefractory CLLAcalabrutinib,2
 NEI,4
 O REFRATTARI ACALABRUTINIB,2
 MIGLIORA IL TEMPO,2
 DA PROGRESSIONEtcoDkQZGriga,2
 IbrutinibIntolerant RelapsedRefractory CLL,2
 LEUCEMIA LINFATICA CRONICA ACALABRUTINIB,12
 Risque de fibrillation atriale,4
 les anticancéreux acalabrutinib ibrutinib,2
 et sonidégib,2
 EHA insights gtgtgt,4
 ASCO Post,18
 Twitter ASCEND Trial Compares Acalabrutinib,2
 da progressione dei pazienti,4
 o refrattari,4
 ASCEND Trial Compares Acalabrutinib,2
 Unimportante nuova arma terapeutica,2
 VIDEO     intolerant   patients,2
 Leucemia linfatica cronica acalabrutinib migliora,6
 il tempo,2
 CLL Question,2
 P Ghia,2
 III ASCEND study,2
 Ghia et al ASCEND,2
 idelaR BR BTKi superior PFS,2
 relapse,22
 idelaR,2
 Dr Vose,2
 AcalabrutinibPembrolizumab Combo,2
 DLBCL,6
 BTKIs,2
 Brown Highlights,2
 Future,56
 CLL Treatment,10
 Press release,2
 New Post Seven Acerta Collaborate,2
 Triple Combo Therapy,2
 DLBCL Patients,2
 sights,18
 Compelling Calquence CLL data,2
 basis,12
 submissions,2
 Acalabrutinib verbetert PFS,2
 RRCLL,2
 SingleAgent Acalabrutinib,12
 Potential PracticeChanging Data,6
 Acalabrutinib incrementa,2
 AstraZeneca PLC LONAZN drug,4
   AZ Calquence,2
 PFS Benefit,2
 CLL Patients,42
 PIII ASCEND Study,4
 AbbVieJohnson amp Johnson,2
 Detailed Data,2
 Calquence Phase III Clinical Trials,2
 trattamento della,2
 allo studio,2
 dimostra,2
 efficacia e sicurezza,2
 trattamenti,2
 Ne abbiamo parlato con Paolo Ghia,2
 encouraging effects,2
 leukaemia treatment Calquence,2
 acalabrutinibは再発、難治性CLLの増悪、死亡リスクを既存治療より％低減   日経メディカル,2
 patients month survival,2
 Babcock,2
 takeover approach,2
 Serco AstraZeneca,2
 AstraZeneca PLC Calquence,2
 time patient,4
 Investing,4
 Astra Zeneca får positiva resultat från leukemistudie med Calquence,4
 acalabrutinibは再発、難治性CLLの増悪、死亡リスクを既存治療より％低減 （ 日経BP ）,2
 acalabrutinibは再発、難治性CLLの増悪、死亡リスクを既存治療より％低減,2
 Safe Significantly,2
 offtarget activity,4
 target safety,2
 ibrutinib arql,2
 Università VitaSalute San Raffaele,2
    ASCEND,2
 IdR,2
 AwesomeCapital AstraZeneca CALQUENCE Prolonged Leukemia Survival,2
 K Maddocks,2
 III study results,2
 acalabrutinib   pembrolizumab,2
 RR DLBCL,4
 MCL research efforts,2
 chemotherapyfree induction therapy,2
 Meets,2
 Interim,2
 Site News,18
 calendars,8
 PM CEST,4
 Ich habe,6
 Paolo Ghia Acalabrutinib,2
 Acalabrutinib nuova,2
 terapeutica,2
 Ghia P   study,2
 previously treated   LB,2
 Blood Spotlight Acalabrutinib,2
 AstraZeneca Co Ltd AstraZeneca,2
 acarabultinib Calquence,2
 アストラゼネカ株式会社アストラゼネカのアカラブルチニブ（Calquence ） 前治療歴のない慢性リンパ性白血病を対象とした,2
 アストラゼネカのアカラブルチニブ（Calquence,4
 ） 前治療歴のない慢性リンパ性白血病を対象とした,4
    au,2
 congrès    de fibrillation atriale,2
 les anticancéreux acalabrutinib ibrutinib et sonidégib,4
   congrès,2
 ICYMI AstraZenecas Calquence,2
 Imbruvicas turf,10
 Létude de phase,4
 ELEVATETN atteint lobjectif principal,2
 de survie sans progression,2
 émie,8
 AstraZeneca社、慢性リンパ性白血病対象のBTK阻害剤Calquenceの第相試験で主要評価項目達成,2
 AstraZeneca suma otro éxito,2
 ensayo clínico de Calquence,2
 Combination therapy,16
 Phase   trial acalabrutinib,2
    Calquence,2
 endpoints,22
 latestage,2
 latestage leukemia trial,8
   Calquence Phase III ELEVATETN trial,2
 Endpoint,4
 nd CLL Study,2
 LEUCEMIA LINFATICA CRONICA LLC,2
 FASE   ACALABRUTINIB CENTRA,2
 Calquence trial,16
    hits endpoints,2
 latestage   trial,2
 goals,14
 Leucemia linfatica cronica acalabrutinib centra,4
 point,16
 Calquence ammunition,12
 Leucemia linfocítica crónica Acalabrutinib,2
 Investigators,10
 mark,4
 CLL Phase III Study,2
 strength,14
   Ends,2
 Endpoints,4
 CLL Study,8
 PIII ELEVATETN Trial,2
 III,10
 Trial Met Primary Endpoint,2
 Interim Analysis,4
 PreviouslyUntreated,2
 premarket,4
 AZN RHHBY,2
 Astra Zeneca nådde primärmål,4
 chemoobi,2
 L CLL Data,2
 EHA Ibrutinib P,2
 Acalabrutinib centra,2
 pont,2
 AstraZeneca Calquence Phase III ELEVATETN trial,4
 AZNUK Calquence Phase III ELEVATETN trial,2
 Calquence Phase III ELEVATETN trial,4
 Acalabrutinib Combo Induces High Responses,2
 Chronic Lymphocytic Leukem,2
 キャンペーン,2
 Treatment combination,2
      Tues,12
 E    Chairs Bartlett,12
 amp Davids     rr CLL acalabrutinib amp obinutuzumab   Woyach,2
 fib,2
 amp Davids,8
 Woyach,16
   Woyach,2
 yr followup,2
 AcalabrutinibObinutuzumab,2
 st line n,2
 salvage,2
 Acerta AstraZeneca Evaluating Acalabrutinib,2
 IbrutinibIntolerant RR Chronic Lymphocytic,2
 VIDEO Longterm followup,4
 New patent,12
 Astrazeneca drug CALQUENCE,6
 Astrazeneca drug,4
 Influence,10
 Severe Hepatic Impairment,4
 Pharmacokinetics,16
 Metabolite,2
 Metabolite Status Completed Condition Summary Hepatic Impairment Hepatic Insufficiency Healthy Subjects,2
 STELLAR trial,8
 TN RR     TN,2
 RR pts,4
 Common G,2
 LongTerm Outcome,6
 再発難治性慢性リンパ性白血病（CLL）患者に対するBTK阻害薬であるacalabrutinib単剤療法の有効性、安全性を比較検証した第相のASCEND試験の無増悪生存期間（PFS）の結果が公表されました。無増悪生存期間はacalabrutinib群で有意に優れることが証明されました,2
 ASCO data,18
 Calquence rival Imbruvica,16
 analyst,2
 FiercePharma,4
 アカラブルチニブ、再発または難治性CLL対象のP試験で主要評価項目達成－英AZ,4
 QLifePro,2
 QLifePro 医療ニュース,4
 CLL analyst,16
 AwesomeCapital ASCO data,2
 Calquence rival Imbruvic,2
 Current Issue,4
 Cryptococcal Infection,2
 Patient Receiving Acalabrutinib,2
 center,6
 AstraZenecas Calquence preps,16
 AZのオンコロジーはやっぱり凄いな～アストラゼネカのアカラブルチニブ（Calquence）、再発又は難治性慢性リンパ性白血病を対象とした第Ⅲ相ASCEND試験の 中間解析において主要評価項目を達成し、試験を早     から,2
 アストラゼネカ株式会社アストラゼネカのアカラブルチニブ（Calquence）、再発又は難治性慢性リンパ性白血病を対象とした第III相ASCEND試験の,2
 Acala dose reductions,2
 ibrutinib intolerant pts,2
 Pleased,2
     monotherapy,2
 Treating,18
 venetoclax acalabrutinib work,2
 Bénefices,2
 survie sans,2
 de l Calquence,2
 Acalabrutinib study,2
 ️ PFS,2
 comparator,2
 Calquence Phase III ASCEND trial,4
 Dr Brian Koffman comments,4
 Findings,14
 Competition,4
 race,8
 thanks,32
 F,10
 cells,108
 Weekly news roundup AZ Imbruvica Rival,2
 Positive Trial Results Patents,2
 Scrutiny FDA OKs,2
 Rare Disease Drug,2
 leukaemiaRead,4
 AZ ’ Calquence   trial,12
 consequence,2
 frontline role,2
 CLL paradigm,2
 patients venetoclax duvelisib,2
 Phase    win,2
 Calquence challenge,2
 Phase   success,10
 Calquence Phase III trial,2
   AstraZeneca blood cancer drug Calquence,2
 III Ascend trial,2
 RR Chronic Lymphocytic Leukaemia,2
 既治療CLLにBTK阻害薬acalabrutinibの単剤投与が医師選択治療よりも有意にPFSを延長   日経メディカル,2
 Calquence help,2
 AZNs majority stake,2
 Acerta,36
 ABBVs Imbruvica,2
 study goal,2
 Exciting day,2
 AstraZeneca Announce Calquence Phase,2
 III ASCEND Trial Met Primary Endpoint,2
 Relapsed Refractory Chronic Lymphocytic Leukaemia,4
 Calquence monotherapy,2
 CLL win,4
 Leucemia linfocítica crónica refractaria Estudio fase III ASCEND evaluando acalabrutinib alcanza objetivo primario,2
 análisis interino y cerrara anticipadamente,2
